Subsets,Elements,Edge prob,Seconds used,Loss,Solution
366.0,376.0,0.69,1.0,20.93,6.0
357.0,195.0,0.17,8.0,14.74,22.0
265.0,187.0,0.38,2.0,17.74,9.0
364.0,430.0,0.68,1.0,20.66,7.0
471.0,344.0,0.86,0.0,7.0,3.0
204.0,155.0,0.92,0.0,20.5,2.0
316.0,198.0,0.77,0.0,32.86,5.0
445.0,204.0,0.47,3.0,11.58,9.0
153.0,264.0,0.62,1.0,19.77,6.0
135.0,347.0,0.25,7.0,13.54,19.0
167.0,491.0,0.62,0.0,8.05,6.0
238.0,241.0,0.97,0.0,16.22,3.0
259.0,342.0,0.34,4.0,37.3,12.0
315.0,313.0,0.68,1.0,12.33,6.0
112.0,382.0,0.58,1.0,21.34,6.0
365.0,358.0,0.88,0.0,7.74,3.0
235.0,107.0,0.14,10.0,15.36,27.0
284.0,270.0,0.71,1.0,3.77,6.0
321.0,301.0,0.53,3.0,16.56,9.0
179.0,459.0,0.68,1.0,3.98,7.0
370.0,328.0,0.02,82.0,17.69,136.0
364.0,389.0,0.07,34.0,17.63,56.0
414.0,471.0,0.24,9.0,17.47,17.0
440.0,375.0,0.49,4.0,19.36,9.0
356.0,224.0,0.04,47.0,33.84,73.0
103.0,399.0,0.76,0.0,40.76,5.0
298.0,488.0,0.24,7.0,12.72,18.0
144.0,262.0,0.44,2.0,19.17,10.0
193.0,228.0,0.55,1.0,53.41,6.0
199.0,406.0,0.78,0.0,13.98,5.0
406.0,362.0,0.18,14.0,12.25,26.0
170.0,433.0,0.44,5.0,24.65,12.0
420.0,273.0,0.17,16.0,20.15,23.0
325.0,418.0,0.85,1.0,30.08,4.0
246.0,207.0,0.16,13.0,19.53,25.0
470.0,456.0,0.8,1.0,32.17,4.0
401.0,286.0,0.42,4.0,17.22,10.0
469.0,100.0,0.05,27.0,19.49,41.0
223.0,500.0,0.66,1.0,9.52,7.0
295.0,372.0,0.36,6.0,8.51,12.0
158.0,222.0,0.64,1.0,10.88,6.0
488.0,301.0,0.95,0.0,34.97,2.0
114.0,152.0,0.54,1.0,14.65,7.0
305.0,328.0,0.25,5.0,18.22,15.0
422.0,121.0,0.62,2.0,21.25,6.0
442.0,141.0,0.14,17.0,16.94,25.0
494.0,213.0,0.43,6.0,14.21,11.0
388.0,455.0,0.54,4.0,30.62,8.0
199.0,315.0,0.0,55.0,18.17,165.0
